Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
57,47030,511,0,0,35,15823,24,1,2,2,404,0.3638111162831029,2,1,0.0817293886952603,0,0,0,21,25,5801,5246,40365,6059,2196.833333333333,0.7140487077039893,2,34306,0.235323,0.2606261079629269,852.9570146709202,0.5721676722574555,0,51.0
31,44704,587,0,3,6,42377,84,1,4,1,307,0.4788105477094984,2,0,0.1563915316943848,0,1,0,20,22,5297,722,110710,14780,3725.3333333333335,0.7203630728188648,6,95930,0.273877,0.3286524,1294.384120060304,0.4298633106818997,0,50.0
40,86684,609,0,3,18,17768,36,0,4,1,513,0.1594313862353432,1,1,0.530008512816585,0,2,0,17,10,7148,784,100857,64598,7223.666666666667,0.722828785408336,2,36259,0.198268,0.2150815651073329,674.0553340926797,0.1643286420690341,0,53.0
59,207724,666,0,2,36,19782,60,1,0,1,403,0.2922948621547404,2,1,0.2667078105438165,0,4,0,15,14,2732,7033,79800,7461,17310.333333333332,0.906780002186522,3,72339,0.191782,0.1847490111333176,507.4573372021695,0.0525961759181704,1,33.6
32,54324,574,0,4,12,37298,48,0,1,1,541,0.1878418536411016,1,2,0.3686362990465119,0,2,0,27,22,4482,3781,20723,34235,4527.0,0.7038663205973266,4,9862,0.245298,0.244149150752941,1224.5544723185071,0.3900054058578545,0,53.0
20,76617,567,0,2,0,22277,48,0,0,1,470,0.6504630740598559,2,0,0.2670982494927958,0,4,0,16,21,1091,3412,86891,7334,6384.75,0.5132453199629046,11,79557,0.2337769999999999,0.2805323999999999,777.0800657034929,0.1953216751953471,0,52.0
18,19691,594,0,1,0,21247,96,0,0,1,415,0.0519817471330119,2,1,0.0805094335577181,0,1,0,28,4,14031,329,30557,22961,1640.9166666666667,0.9532196513365436,6,7596,0.259247,0.2376361908120379,496.2943931451915,0.5553568999919911,0,54.0
24,37252,573,0,1,2,22334,36,1,3,1,315,0.6526725374796335,0,1,0.2983059694532503,0,0,0,27,15,3417,1642,479289,30739,3104.333333333333,0.6682958718642802,6,448550,0.220834,0.2103169949300945,841.7984997550341,0.3726399118721252,0,49.0
53,34498,565,0,3,33,10394,36,2,0,1,296,0.4177837232089879,1,2,0.1693830024155121,0,1,0,22,18,1254,4581,155968,20642,2874.833333333333,0.97686676928947,6,135326,0.212894,0.1882786015180215,380.09865398279146,0.2351783827408399,1,38.400000000000006
30,32716,580,0,3,9,22495,48,0,0,0,1037,0.2499100878503483,4,1,0.2034615017105332,0,3,0,22,19,2567,832,191130,68170,2726.333333333333,0.8565169364984008,8,122960,0.227495,0.235613507851635,727.9339151338377,0.6473654169704747,0,49.0
42,57225,587,0,3,18,17583,72,2,3,1,582,0.3650351579414632,1,1,0.5152962139429829,0,0,0,20,9,5868,2111,7979,24754,4768.75,0.8056549338131134,3,7227,0.239083,0.2331919619916273,455.66499446651807,0.2175968533612619,0,59.0
31,15670,624,0,1,11,26628,36,0,1,1,447,0.1522467468453082,1,2,0.356040566637983,0,0,0,27,15,2100,1832,217648,7612,1305.8333333333333,0.948534683667079,5,210036,0.199628,0.212571805075852,1006.7312556632354,1.113259417227749,0,48.0
49,78667,547,1,2,29,13165,60,2,2,0,454,0.5683369353679459,2,0,0.4715783789024282,0,0,1,26,23,16297,136,16433,24870,6555.583333333333,0.6747861345884685,8,1610,0.244665,0.2752543655458573,406.1422373756745,0.1312075819404336,0,66.0
36,42638,594,0,0,12,11224,60,1,0,2,293,0.1758161207441108,5,2,0.1197595922204513,0,2,0,19,5,3983,839,51213,24293,3553.1666666666665,0.8461132869681645,7,26920,0.219224,0.2630688,338.0939903273503,0.1776145195348797,0,52.0
48,51404,563,0,1,28,9446,12,2,2,3,191,0.0608261911234042,7,3,0.2415056111497174,0,2,0,31,2,4899,2393,77301,40986,4283.666666666667,0.9530021852929876,3,36315,0.192946,0.1945156426835987,872.5480580754057,0.2482798361393056,0,55.0
42,52283,495,0,2,21,14532,24,0,3,1,289,0.2307609825126599,3,2,0.2778077203369754,0,2,0,14,26,4188,2996,143152,24744,4356.916666666667,0.8092921800574613,4,118408,0.2420319999999999,0.2317338592377729,762.3403941574779,0.2413037647015231,1,38.400000000000006
40,33603,597,0,0,13,22098,120,2,0,3,1124,0.3662621960222576,1,1,0.3157537829474087,0,1,0,22,1,430,1148,45881,2382,2800.25,0.9379104123733102,4,43499,0.278598,0.2997655099720755,582.1601966314233,0.6092885266070612,0,59.0
36,27013,639,1,0,17,12602,72,0,0,1,159,0.1303537822489815,4,1,0.098805833509792,0,1,0,19,2,1950,1926,114059,16598,2251.083333333333,0.8758542046662187,4,97461,0.208102,0.1960024850279768,298.940538334838,0.2034311798029858,0,53.0
46,41267,558,0,0,25,14043,12,0,0,2,1020,0.2820597243889337,2,0,0.1712513615507191,0,4,1,28,4,53574,2919,56493,7478,3438.9166666666665,0.8203009637286734,5,49015,0.200043,0.2400515999999999,1327.935482924247,0.6827543992800776,0,60.0
34,40420,607,0,3,14,46281,24,0,0,2,434,0.2013227357118773,3,2,0.3762658830530577,0,1,0,25,5,4169,3015,19441,27821,3368.333333333333,0.4851044923611497,3,1912,0.2177809999999999,0.2292688948239002,2422.2094243030524,0.8479592551122372,0,54.0
49,41599,523,0,0,26,42308,60,0,1,2,472,0.2618966798777183,1,1,0.1227644837367915,0,0,0,15,19,4572,903,15929,3381,3466.583333333333,0.9505302111626788,5,12548,0.285808,0.29179382758146,1347.5591533774111,0.5248854501437279,0,51.0
46,90961,476,0,1,23,58072,36,0,0,2,462,0.3595084660262617,4,1,0.2894924195814389,0,0,0,28,25,2253,602,25299,46842,7580.083333333333,0.9053573557911556,6,6383,0.305072,0.2704740244744857,2372.278956181256,0.3739113188528608,0,51.0
24,37097,578,0,3,0,22307,60,0,2,0,293,0.1820907372242939,3,0,0.6271925056104255,0,0,1,20,13,3529,3074,108705,51534,3091.4166666666665,0.8163280919195187,6,57171,0.238307,0.1906456,579.4485838550477,0.2822164327643899,0,62.0
37,68070,631,0,0,16,32301,36,2,1,1,522,0.5632408106832197,1,0,0.2821673908166415,0,4,1,26,21,7368,930,78487,6406,5672.5,0.8660436067914202,4,72081,0.201801,0.2092546137493414,1215.7065096295337,0.3063387412304158,0,54.0
39,51234,643,0,0,16,10272,48,0,0,1,763,0.1163943457505388,1,0,0.2213910906416856,0,4,0,20,11,13948,953,220193,4599,4269.5,0.9298695906582816,3,215594,0.183772,0.1496558713643163,285.6982920581004,0.2456255514833353,1,35.2
28,64147,526,0,2,5,21885,72,1,0,0,419,0.4615314357104853,6,2,0.4451761818092824,0,0,1,21,13,493,374,49446,7438,5345.583333333333,0.7399130834465472,7,42008,0.273885,0.3051521471312312,665.6780322656476,0.2029110696866225,0,63.0
18,22886,594,0,2,0,13324,120,2,1,2,241,0.2231624586345974,0,5,0.4910298413176513,0,0,0,29,2,5450,278,37674,23760,1907.1666666666667,0.9176655194573864,8,13914,0.271324,0.2468617975486022,300.1686278611712,0.2837552885752886,0,62.0
24,89971,553,0,1,1,17106,36,1,1,0,335,0.3203726896917199,4,0,0.2825029484560347,0,0,0,32,9,2038,1186,4260,5998,7497.583333333333,0.905840495413476,4,1707,0.225606,0.2394073813600332,670.5850255255531,0.1341212202410403,1,41.6
40,79235,434,0,3,18,16883,84,0,2,0,231,0.1957275132316942,3,1,0.0441042676578946,0,3,0,20,29,3748,127,254230,9323,6602.916666666667,0.6990481965491673,5,244907,0.324883,0.3309253852995427,518.3311952673438,0.1134848784401858,1,36.0
